Municipio,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
CURITIBA,6.656,55.996,14.078,16.757,8.354,17.006,11.53,12.673,10.83,12.08,10.864,27.405,204.229
ADRIANOPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGUDOS DO SUL,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.026,0.0,0.063
ALMIRANTE TAMANDARE,0.197,0.658,0.225,0.18,0.5,0.881,1.232,0.529,0.232,0.271,0.125,0.004,5.034
ARAUCARIA,0.024,1.947,0.064,0.161,0.016,1.605,0.028,0.073,7.791,0.0,0.091,0.938,12.738
BALSA NOVA,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.001,26.0,26.007
BOCAIUVA DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
CAMPINA GRANDE DO SUL,0.154,0.02,0.006,0.0,12.544,0.03,0.008,0.004,0.007,0.028,10.875,0.001,23.677
CAMPO LARGO,68.893,46.38,0.197,4.84,0.257,0.117,0.255,0.19,0.056,0.32,0.478,6.61,128.593
CAMPO MAGRO,0.004,0.0,0.04,0.0,0.0,0.0,0.045,0.039,0.0,0.041,0.784,0.0,0.953
CERRO AZUL,0.0,0.0,0.0,0.003,0.0,0.0,0.041,0.744,0.438,0.0,0.002,0.328,1.556
COLOMBO,1.733,5.195,5.341,3.223,0.966,0.625,0.44,35.858,5.507,1.322,0.898,1.381,62.489
DOUTOR ULYSSES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAZENDA RIO GRANDE,0.255,0.962,3.069,0.952,0.13,0.192,0.153,1.886,0.162,0.15,0.236,0.236,8.383
ITAPERUCU,0.0,0.0,0.0,0.025,0.0,0.0,0.017,0.0,0.031,0.0,0.0,0.0,0.073
MANDIRITUBA,0.0,0.0,0.0,0.022,0.064,0.001,0.016,0.0,0.017,0.037,0.0,0.007,0.164
PINHAIS,0.345,0.779,0.804,1.526,5.326,0.306,0.68,1.35,0.35,0.452,0.099,2.485,14.502
PIRAQUARA,0.464,0.525,1.254,0.919,0.209,0.65,0.095,0.162,0.662,0.699,512.197,0.3,518.136
QUATRO BARRAS,0.004,0.001,0.008,0.002,0.0,0.082,0.0,56.224,0.0,0.011,0.119,0.0,56.451
RIO BRANCO DO SUL,0.0,0.0,0.014,0.013,0.0,0.0,0.0,0.005,0.0,0.063,0.075,0.0,0.17
SAO JOSE DOS PINHAIS,0.584,0.092,0.348,3.113,0.539,1.265,0.144,0.635,1.222,5.388,0.252,127.593,141.175
TIJUCAS DO SUL,0.007,0.005,0.011,0.004,0.014,0.009,0.004,0.005,0.002,0.003,0.007,0.01,0.081
TUNAS DO PARANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTONINA,0.004,0.318,0.002,0.0,0.006,0.025,0.006,0.0,0.005,0.007,0.003,0.003,0.379
GUARAQUECABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARATUBA,0.031,0.071,0.008,0.007,0.035,0.265,0.016,0.6,0.176,0.439,0.432,0.339,2.419
MATINHOS,0.594,0.269,0.012,0.058,0.041,0.012,0.075,0.535,0.013,0.098,0.018,0.075,1.8
MORRETES,0.0,0.005,0.0,0.0,6.401,0.0,0.003,0.34,0.016,0.002,0.0,0.028,6.795
PARANAGUA,2.713,0.035,1.826,0.075,25.632,188.485,75.268,400.822,387.598,58.096,0.397,0.749,1141.696
PONTAL DO PARANA,0.676,0.328,0.049,0.041,0.665,0.126,0.315,0.027,0.161,0.136,0.02,0.233,2.777
ARAPOTI,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.012,0.012,0.261,0.0,0.0,0.294
CARAMBEI,0.014,0.0,0.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643
CASTRO,0.036,0.0,0.019,0.036,0.134,0.112,0.006,0.002,0.414,0.003,0.002,0.0,0.764
FERNANDES PINHEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAMIRANGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMBITUVA,0.0,0.0,0.0,0.001,0.001,0.007,0.0,0.0,0.018,0.007,0.0,0.0,0.034
INACIO MARTINS,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
IPIRANGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRATI,0.024,0.0,0.0,0.002,0.086,0.336,0.001,0.063,0.002,0.025,0.151,0.0,0.69
IVAI,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164
JAGUARIAIVA,0.0,0.009,0.001,0.0,0.0,0.0,0.004,0.0,0.004,0.0,0.005,0.0,0.023
PALMEIRA,0.0,0.005,0.001,0.097,0.003,0.006,1.127,0.0,0.0,0.0,0.0,0.0,1.239
PIRAI DO SUL,0.0,0.0,0.0,0.0,0.0,0.007,0.855,0.0,0.037,0.0,0.0,0.0,0.899
PONTA GROSSA,0.013,21.276,0.715,2.39,0.11,0.425,3.075,0.543,5.025,0.079,0.133,3.07,36.854
PORTO AMAZONAS,0.0,0.0,0.003,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
REBOUCAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022
RIO AZUL,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.001,0.0,0.0,0.447,0.517
SENGES,0.0,0.025,0.0,0.009,0.0,0.027,0.0,0.0,0.0,0.0,0.034,0.0,0.095
TEIXEIRA SOARES,0.004,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.005
ANTONIO OLINTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.016
CAMPO DO TENENTE,0.0,0.0,0.0,0.0,0.009,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.012
CONTENDA,0.009,0.0,0.0,0.191,0.063,0.0,0.016,0.001,0.0,0.0,0.0,0.0,0.28
LAPA,2.422,0.017,0.034,0.002,0.004,0.03,0.074,0.477,0.057,0.166,0.101,0.002,3.386
PIEN,0.0,0.0,0.015,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.03,0.049
QUITANDINHA,0.0,0.0,0.008,0.001,0.0,0.065,0.0,0.188,0.114,0.0,0.0,0.0,0.376
RIO NEGRO,0.01,0.079,0.375,0.024,0.0,0.021,0.215,0.147,0.016,0.012,0.005,0.154,1.058
SAO JOAO DO TRIUNFO,0.0,0.003,0.0,0.0,0.0,0.004,0.0,0.004,0.002,0.0,0.0,0.0,0.013
SAO MATEUS DO SUL,0.0,0.487,1.068,0.004,0.017,0.143,0.002,0.025,0.3,0.103,0.0,0.041,2.19
BITURUNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.006,0.0,0.026
CRUZ MACHADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENERAL CARNEIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.002
MALLET,0.0,0.0,0.0,0.022,0.0,0.006,0.019,0.0,0.05,0.0,0.009,0.004,0.11
PAULA FREITAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAULO FRONTIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PORTO VITORIA,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002
UNIAO DA VITORIA,0.249,0.009,0.112,1.187,0.331,0.02,0.06,0.077,1.328,0.02,0.093,0.005,3.491
BOA VENTURA DE SAO ROQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPINA DO SIMAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANDOI,0.0,0.0,0.0,0.083,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119
FOZ DO JORDAO,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.001,0.0,0.047
GUARAPUAVA,0.002,0.508,0.209,0.775,0.036,86.135,0.932,0.282,1.387,0.0,44.358,0.0,134.624
MANOEL RIBAS,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.006,0.019,0.004,0.006,0.036
MATO RICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVA TEBAS,0.0,0.001,0.004,0.001,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
PINHAO,0.0,0.101,0.063,0.0,0.006,0.011,0.0,0.155,0.0,0.0,0.0,0.035,0.371
PITANGA,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.003,0.044,0.0,0.131
PRUDENTOPOLIS,0.084,0.0,0.025,0.0,0.0,0.0,0.0,0.008,0.105,0.1,0.0,0.0,0.322
RESERVA DO IGUACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA MARIA DO OESTE,0.0,0.0,0.0,0.047,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.051
TURVO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANTAGALO,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.192
GOIOXIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.085
LARANJAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARANJEIRAS DO SUL,0.053,0.0,97.103,0.016,0.034,0.001,0.049,0.012,0.007,0.0,0.0,0.0,97.275
MARQUINHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVA LARANJEIRAS,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.022
PALMITAL,0.011,0.0,0.002,0.003,0.002,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.027
PORTO BARREIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIO BONITO DO IGUACU,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.005
VIRMOND,0.0,0.0,0.001,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.04
BOM SUCESSO DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOPINZINHO,0.051,0.531,0.009,0.0,0.465,0.219,0.029,0.0,0.026,0.0,0.019,0.001,1.35
CLEVELANDIA,0.007,0.0,0.0,0.023,0.005,0.051,0.011,0.002,0.937,0.0,0.006,0.418,1.46
CORONEL DOMINGOS SOARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CORONEL VIVIDA,0.016,0.0,0.0,0.091,0.003,0.0,0.0,0.0,0.0,0.001,0.031,0.0,0.142
HONORIO SERPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITAPEJARA DO OESTE,0.0,0.0,0.0,0.005,0.0,0.003,0.022,0.054,0.002,0.005,0.0,0.004,0.095
MANGUEIRINHA,0.001,0.0,0.0,0.0,0.004,0.029,0.022,0.013,0.943,0.0,0.0,0.0,1.012
MARIOPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11
PALMAS,0.268,0.014,0.101,0.001,0.949,0.998,0.0,1.9,0.039,0.949,0.0,0.082,5.301
PATO BRANCO,0.794,0.878,0.172,0.339,0.668,0.069,0.904,0.521,0.029,0.015,0.05,0.081,4.52
SAO JOAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005
SAO JORGE DO OESTE,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.026
SAUDADE DO IGUACU,0.0,0.001,0.0,0.0,0.0,0.003,0.0,0.0,0.01,0.0,0.0,0.057,0.071
SULINA,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
VITORINO,0.0,0.0,0.0,0.019,17.28,0.0,0.0,0.0,0.005,0.0,0.0,0.0,17.304
AMPERE,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.013
BARRACAO,0.0,0.019,0.0,0.0,0.0,0.002,0.0,0.0,0.03,0.0,0.0,0.0,0.051
BELA VISTA DA CAROBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOA ESPERANCA DO IGUACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOM JESUS DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPANEMA,0.0,0.006,0.0,0.0,0.013,0.007,0.0,0.0,0.002,0.0,0.0,0.0,0.028
CRUZEIRO DO IGUACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOIS VIZINHOS,0.0,0.0,0.0,0.008,0.434,0.006,0.05,0.0,0.065,0.402,0.273,0.006,1.244
ENEAS MARQUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLOR DA SERRA DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCISCO BELTRAO,0.217,1.744,0.097,0.001,0.024,0.014,0.002,0.004,0.046,0.01,0.236,0.124,2.519
MANFRINOPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003
MARMELEIRO,0.0,0.008,0.0,0.0,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991
NOVA ESPERANCA DO SUDOESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.048
NOVA PRATA DO IGUACU,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.102,0.01,0.0,0.0,0.0,0.12
PEROLA DO OESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001
PINHAL DE SAO BENTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLANALTO,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.013,0.0,0.034
PRANCHITA,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.003
REALEZA,4.22,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.259,0.0,0.005,0.001,4.49
RENASCENCA,0.0,0.004,0.0,0.0,0.0,0.0,0.056,0.002,0.0,0.217,0.0,0.0,0.279
SALGADO FILHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SALTO DO LONTRA,0.001,0.0,0.0,0.766,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.781
SANTA IZABEL DO OESTE,0.0,0.02,0.0,0.006,0.007,0.004,0.037,0.129,0.001,0.001,0.005,0.005,0.215
SANTO ANTONIO DO SUDOESTE,0.002,0.022,0.003,0.001,0.0,0.004,0.0,0.002,0.002,0.174,0.05,0.0,0.26
VERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.023
ANAHY,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.007
BOA VISTA DA APARECIDA,0.002,0.0,0.0,0.005,0.0,0.022,0.001,0.018,0.0,0.013,0.0,0.023,0.084
BRAGANEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPO BONITO,0.0,0.0,0.001,0.0,0.012,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.038
CAPITAO LEONIDAS MARQUES,0.003,0.0,0.0,4.864,0.0,0.009,0.002,0.0,0.0,0.0,0.0,0.0,4.878
CASCAVEL,0.08,0.064,13.727,0.135,166.87,161.109,80.831,1.733,0.943,0.481,0.906,0.082,426.961
CATANDUVAS,0.0,0.0,0.0,0.001,0.033,0.0,0.001,0.0,0.075,0.0,0.0,0.0,0.11
CEU AZUL,0.0,0.0,5.417,0.0,0.044,0.0,2.2,0.0,0.001,0.0,5.415,0.002,13.079
CORBELIA,0.003,0.008,0.0,0.006,0.004,0.0,0.104,0.0,0.015,0.008,0.002,0.004,0.154
DIAMANTE DO SUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPIGAO ALTO DO IGUACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUARANIACU,0.0,0.0,0.0,0.002,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115
IBEMA,0.0,0.0,0.0,0.0,0.0,106.506,0.018,0.0,0.001,0.008,0.0,0.0,106.533
IGUATU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINDOESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MATELANDIA,0.007,0.0,0.0,0.0,0.003,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.017
QUEDAS DO IGUACU,0.0,0.0,0.08,0.001,0.001,0.067,0.03,0.014,0.005,0.0,0.004,0.0,0.202
RAMILANDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA LUCIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.009
SANTA TEREZA DO OESTE,0.0,0.0,0.001,0.009,0.0,0.041,0.173,0.001,0.0,0.0,0.001,0.0,0.226
TRES BARRAS DO PARANA,0.049,0.0,0.0,0.001,0.149,0.0,0.0,0.105,0.0,0.0,0.003,0.001,0.308
VERA CRUZ DO OESTE,0.0,0.0,0.005,0.0,0.002,0.0,0.0,0.001,0.005,0.0,0.0,0.0,0.013
FOZ DO IGUACU,0.216,1.592,12.75,107.062,0.419,0.031,244.52,121.023,0.39,3.291,0.241,0.005,491.54
ITAIPULANDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDIANEIRA,0.031,0.048,0.004,0.001,0.047,0.087,0.0,0.0,0.078,0.001,0.0,0.036,0.333
MISSAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA TEREZINHA DE ITAIPU,0.006,0.02,0.0,0.911,0.438,0.029,0.51,0.0,0.0,0.001,0.006,0.001,1.922
SAO MIGUEL DO IGUACU,0.002,0.028,0.004,1.042,0.016,0.016,0.0,0.0,0.002,0.0,0.0,0.0,1.11
SERRANOPOLIS DO IGUACU,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
ASSIS CHATEAUBRIAND,0.043,0.002,0.003,0.002,0.005,0.016,0.0,0.016,0.006,0.004,0.004,0.0,0.101
CAFELANDIA,0.0,0.0,0.063,0.001,0.0,0.0,0.0,0.001,0.001,0.117,0.016,0.005,0.204
DIAMANTE DO OESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
ENTRE RIOS DO OESTE,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
FORMOSA DO OESTE,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
GUAIRA,111.5,0.012,0.009,0.0,0.006,0.006,0.0,0.009,0.007,0.009,0.0,23.005,134.563
IRACEMA DO OESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.037
JESUITAS,0.0,0.0,0.001,0.001,0.0,0.001,0.006,0.0,0.0,0.001,0.001,0.005,0.016
MARECHAL CANDIDO RONDON,0.007,0.002,0.003,0.0,0.18,0.005,0.005,0.015,0.032,0.019,0.006,0.0,0.274
MARIPA,0.0,0.0,0.002,0.0,0.0,0.012,0.0,0.0,0.002,0.005,0.0,0.003,0.024
MERCEDES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVA AURORA,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.002,0.0,0.0,0.0,0.007,0.018
NOVA SANTA ROSA,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.245
OURO VERDE DO OESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.003
PALOTINA,0.121,0.03,0.0,1.616,0.0,0.0,0.0,0.003,0.609,0.008,0.014,0.034,2.435
PATO BRAGADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QUATRO PONTES,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
SANTA HELENA,0.0,0.008,0.229,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.239
SAO JOSE DAS PALMEIRAS,0.007,0.071,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.082
SAO PEDRO DO IGUACU,0.005,0.008,0.006,0.0,0.0,0.0,0.014,0.0,0.016,0.0,0.0,0.0,0.049
TERRA ROXA,0.003,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011
TOLEDO,0.153,0.133,0.134,0.117,2.249,0.042,1.195,0.799,0.057,0.124,0.891,0.082,5.976
TUPASSI,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
ALTAMIRA DO PARANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARARUNA,0.0,0.0,0.0,0.0,0.0,0.001,0.018,0.0,0.0,0.0,0.0,0.0,0.019
BARBOSA FERRAZ,0.0,0.003,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.024,0.0,0.0,0.028
BOA ESPERANCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPINA DA LAGOA,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.004
CAMPO MOURAO,0.069,0.001,0.013,0.02,0.0,0.062,0.031,0.01,0.001,0.174,0.0,0.035,0.416
CIANORTE,0.063,0.138,0.039,0.029,0.048,0.003,0.003,0.021,0.017,0.025,0.026,0.12,0.532
CORUMBATAI DO SUL,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.0,0.005
ENGENHEIRO BELTRAO,0.006,0.0,0.0,0.001,2.067,0.001,0.001,0.0,0.054,0.0,0.017,0.003,2.15
FAROL,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.15
FENIX,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
INDIANOPOLIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.007
IRETAMA,0.206,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215
